date,region,flat_price
2009-09-01,London,250441.0
2009-10-01,Inner London,311482.0
2009-10-01,Outer London,189663.0
2009-10-01,London,249552.0
2009-10-01,South East,137509.0
2009-11-01,Outer London,189960.0
2009-11-01,Inner London,314121.0
2009-11-01,South East,138000.0
2009-11-01,London,247156.0
2009-12-01,Outer London,191254.0
2009-12-01,Inner London,312147.0
2009-12-01,London,249973.0
2009-12-01,South East,138741.0
2010-01-01,Inner London,317491.0
2010-01-01,Outer London,192235.0
2010-01-01,London,258390.0
2010-01-01,South East,139330.0
2010-02-01,Outer London,193299.0
2010-02-01,Inner London,323388.0
2010-02-01,London,256874.0
2010-02-01,South East,139475.0
2010-03-01,Inner London,328914.0
2010-03-01,Outer London,194969.0
2010-03-01,London,260176.0
2010-03-01,South East,140493.0
2010-04-01,Inner London,329868.0
2010-04-01,Outer London,195872.0
2010-04-01,South East,140525.0
2010-04-01,London,261209.0
2010-05-01,Outer London,197424.0
2010-05-01,Inner London,330337.0
2010-05-01,London,260105.0
2010-05-01,South East,142547.0
2010-06-01,Inner London,332875.0
2010-06-01,Outer London,197058.0
2010-06-01,London,263041.0
2010-06-01,South East,143273.0
2010-07-01,Outer London,198913.0
2010-07-01,Inner London,336260.0
2010-07-01,London,268935.0
2010-07-01,South East,142281.0
2010-08-01,Inner London,339686.0
2010-08-01,Outer London,200155.0
2010-08-01,South East,142066.0
2010-08-01,London,266868.0
2010-09-01,Inner London,339998.0
2010-09-01,Outer London,201727.0
2010-09-01,London,266097.0
2010-09-01,South East,142803.0
2010-10-01,Inner London,336908.0
2010-10-01,Outer London,200780.0
2010-10-01,London,263132.0
2010-10-01,South East,140698.0
2010-11-01,Inner London,332651.0
2010-11-01,Outer London,199830.0
2010-11-01,London,259443.0
2010-11-01,South East,139995.0
2010-12-01,Inner London,332000.0
2010-12-01,Outer London,198594.0
2010-12-01,London,263142.0
2010-12-01,South East,139256.0
2011-01-01,Inner London,333000.0
2011-01-01,Outer London,198682.0
2011-01-01,South East,137066.0
2011-01-01,London,264647.0
2011-02-01,Inner London,335946.0
2011-02-01,Outer London,198590.0
2011-02-01,London,263339.0
2011-02-01,South East,138460.0
2011-03-01,Inner London,339331.0
2011-03-01,Outer London,198000.0
2011-03-01,South East,136577.0
2011-03-01,London,266670.0
2011-04-01,Outer London,197988.0
2011-04-01,Inner London,346782.0
2011-04-01,South East,138860.0
2011-04-01,London,274537.0
2011-05-01,Inner London,345581.0
2011-05-01,Outer London,198999.0
2011-05-01,South East,140901.0
2011-05-01,London,263415.0
2011-06-01,Inner London,344930.0
2011-06-01,Outer London,199002.0
2011-06-01,South East,140039.0
2011-06-01,London,265810.0
2011-07-01,Outer London,200112.0
2011-07-01,Inner London,344138.0
2011-07-01,London,275440.0
2011-07-01,South East,141735.0
2011-08-01,Outer London,199692.0
2011-08-01,Inner London,350614.0
2011-08-01,London,271420.0
2011-08-01,South East,138302.0
2011-09-01,Inner London,353460.0
2011-09-01,Outer London,201261.0
2011-09-01,South East,138954.0
2011-09-01,London,272316.0
2011-10-01,Outer London,200260.0
2011-10-01,Inner London,349850.0
2011-10-01,London,268904.0
2011-10-01,South East,136937.0
2011-11-01,Outer London,200336.0
2011-11-01,Inner London,348639.0
2011-11-01,London,269938.0
2011-11-01,South East,139914.0
2011-12-01,Inner London,347329.0
2011-12-01,Outer London,200382.0
2011-12-01,South East,139541.0
2011-12-01,London,270646.0
2012-01-01,Inner London,349793.0
2012-01-01,Outer London,200305.0
2012-01-01,South East,135912.0
